c_math               hls_math             error
+0.0000000000000000  +0.0000000000000000  +0.0000000000000000
+0.0960082560777664  +0.0960082560777664  +0.0000000000000000
+0.1910928487777710  +0.1910928338766098  +0.0000000149011612
+0.2843389511108398  +0.2843389511108398  +0.0000000000000000
+0.3748495280742645  +0.3748494982719421  +0.0000000298023224
+0.4617536962032318  +0.4617536664009094  +0.0000000298023224
+0.5442155003547668  +0.5442154407501221  +0.0000000596046448
+0.6214414238929749  +0.6214413642883301  +0.0000000596046448
+0.6926887035369873  +0.6926886439323425  +0.0000000596046448
+0.7572717070579529  +0.7572716474533081  +0.0000000596046448
+0.8145691156387329  +0.8145691156387329  +0.0000000000000000
+0.8640298247337341  +0.8640297651290894  +0.0000000596046448
+0.9051777720451355  +0.9051777720451355  +0.0000000000000000
+0.9376172423362732  +0.9376172423362732  +0.0000000000000000
+0.9610361456871033  +0.9610360860824585  +0.0000000596046448
+0.9752090573310852  +0.9752089977264404  +0.0000000596046448
+0.9799997210502625  +0.9799996614456177  +0.0000000596046448
+0.9753619432449341  +0.9753619432449341  +0.0000000000000000
+0.9613404870033264  +0.9613404870033264  +0.0000000000000000
+0.9380701184272766  +0.9380700588226318  +0.0000000596046448
+0.9057748317718506  +0.9057747721672058  +0.0000000596046448
+0.8647651672363281  +0.8647651076316833  +0.0000000596046448
+0.8154358267784119  +0.8154358267784119  +0.0000000000000000
+0.7582613825798035  +0.7582613825798035  +0.0000000000000000
+0.6937918663024902  +0.6937918663024902  +0.0000000000000000
+0.6226475238800049  +0.6226474642753601  +0.0000000596046448
+0.5455128550529480  +0.5455127954483032  +0.0000000596046448
+0.4631298482418060  +0.4631298184394836  +0.0000000298023224
+0.3762912154197693  +0.3762911856174469  +0.0000000298023224
+0.2858323454856873  +0.2858323156833649  +0.0000000298023224
+0.1926235258579254  +0.1926235258579254  +0.0000000000000000
+0.0975615456700325  +0.0975615382194519  +0.0000000074505806
+0.0015606969827786  +0.0015606969827786  +0.0000000000000000
-0.0944549292325974  -0.0944549217820168  -0.0000000074505806
-0.1895618140697479  -0.1895618140697479  +0.0000000000000000
-0.2828449606895447  -0.2828449606895447  +0.0000000000000000
-0.3734069466590881  -0.3734069466590881  +0.0000000000000000
-0.4603764414787292  -0.4603764116764069  -0.0000000298023224
-0.5429167747497559  -0.5429167747497559  +0.0000000000000000
-0.6202337741851807  -0.6202337741851807  +0.0000000000000000
-0.6915836930274963  -0.6915836334228516  -0.0000000596046448
-0.7562801241874695  -0.7562801241874695  +0.0000000000000000
-0.8137003779411316  -0.8137003779411316  +0.0000000000000000
-0.8632922172546387  -0.8632922172546387  +0.0000000000000000
-0.9045785069465637  -0.9045785069465637  +0.0000000000000000
-0.9371620416641235  -0.9371620416641235  +0.0000000000000000
-0.9607293605804443  -0.9607293605804443  +0.0000000000000000
-0.9750536680221558  -0.9750536084175110  -0.0000000596046448
-0.9799972176551819  -0.9799972176551819  +0.0000000000000000
-0.9755123853683472  -0.9755123257637024  -0.0000000596046448
-0.9616423845291138  -0.9616423249244690  -0.0000000596046448
-0.9385206103324890  -0.9385205507278442  -0.0000000596046448
-0.9063695073127747  -0.9063695073127747  +0.0000000000000000
-0.8654984235763550  -0.8654984235763550  +0.0000000000000000
-0.8163006305694580  -0.8163005709648132  -0.0000000596046448
-0.7592493295669556  -0.7592492699623108  -0.0000000596046448
-0.6948934197425842  -0.6948934197425842  +0.0000000000000000
-0.6238521337509155  -0.6238520741462708  -0.0000000596046448
-0.5468088984489441  -0.5468088388442993  -0.0000000596046448
-0.4645048677921295  -0.4645048677921295  +0.0000000000000000
-0.3777319788932800  -0.3777319788932800  +0.0000000000000000
-0.2873250246047974  -0.2873249948024750  -0.0000000298023224
-0.1941537708044052  -0.1941537559032440  -0.0000000149011612
-0.0991141274571419  -0.0991141274571419  +0.0000000000000000
-0.0031213902402669  -0.0031213900074363  -0.0000000002328306
+0.0929013714194298  +0.0929013714194298  +0.0000000000000000
+0.1880303621292114  +0.1880303621292114  +0.0000000000000000
+0.2813503444194794  +0.2813503444194794  +0.0000000000000000
+0.3719635009765625  +0.3719635009765625  +0.0000000000000000
+0.4589980840682983  +0.4589980542659760  +0.0000000298023224
+0.5416167974472046  +0.5416167378425598  +0.0000000596046448
+0.6190246343612671  +0.6190246343612671  +0.0000000000000000
+0.6904770135879517  +0.6904769539833069  +0.0000000596046448
+0.7552864551544189  +0.7552864551544189  +0.0000000000000000
+0.8128294944763184  +0.8128294348716736  +0.0000000596046448
+0.8625524044036865  +0.8625523447990417  +0.0000000596046448
+0.9039768576622009  +0.9039768576622009  +0.0000000000000000
+0.9367044568061829  +0.9367043972015381  +0.0000000596046448
+0.9604201316833496  +0.9604200720787048  +0.0000000596046448
+0.9748957753181458  +0.9748957753181458  +0.0000000000000000
+0.9799922108650208  +0.9799921512603760  +0.0000000596046448
+0.9756603837013245  +0.9756603240966797  +0.0000000596046448
+0.9619417786598206  +0.9619417786598206  +0.0000000000000000
+0.9389687180519104  +0.9389686584472656  +0.0000000596046448
+0.9069617986679077  +0.9069617390632629  +0.0000000596046448
+0.8662295341491699  +0.8662295341491699  +0.0000000000000000
+0.8171630501747131  +0.8171629905700684  +0.0000000596046448
+0.7602352499961853  +0.7602351903915405  +0.0000000596046448
+0.6959928274154663  +0.6959928274154663  +0.0000000000000000
+0.6250551342964172  +0.6250550746917725  +0.0000000596046448
+0.5481031537055969  +0.5481030941009521  +0.0000000596046448
+0.4658787548542023  +0.4658787548542023  +0.0000000000000000
+0.3791714012622833  +0.3791713714599609  +0.0000000298023224
+0.2888170182704926  +0.2888169884681702  +0.0000000298023224
+0.1956830620765686  +0.1956830471754074  +0.0000000149011612
+0.1006673946976662  +0.1006673872470856  +0.0000000074505806
+0.0046823089942336  +0.0046823085285723  +0.0000000004656613
-0.0913468897342682  -0.0913468897342682  +0.0000000000000000
-0.1864981949329376  -0.1864981800317764  -0.0000000149011612
-0.2798542976379395  -0.2798542976379395  +0.0000000000000000
-0.3705188930034637  -0.3705188930034637  +0.0000000000000000
-0.4576188027858734  -0.4576187729835510  -0.0000000298023224
-0.5403151512145996  -0.5403151512145996  +0.0000000000000000
-0.6178141236305237  -0.6178140640258789  -0.0000000596046448
-0.6893684864044189  -0.6893684267997742  -0.0000000596046448
-0.7542912364006042  -0.7542911767959595  -0.0000000596046448
-0.8119564056396484  -0.8119564056396484  +0.0000000000000000
-0.8618105649948120  -0.8618105649948120  +0.0000000000000000
-0.9033729434013367  -0.9033728837966919  -0.0000000596046448
-0.9362445473670959  -0.9362444877624512  -0.0000000596046448
-0.9601083993911743  -0.9601083993911743  +0.0000000000000000
-0.9747354984283447  -0.9747354388237000  -0.0000000596046448
-0.9799847602844238  -0.9799847602844238  +0.0000000000000000
-0.9758058190345764  -0.9758058190345764  +0.0000000000000000
-0.9622389078140259  -0.9622389078140259  +0.0000000000000000
-0.9394143819808960  -0.9394143223762512  -0.0000000596046448
-0.9075521230697632  -0.9075520634651184  -0.0000000596046448
-0.8669582009315491  -0.8669581413269043  -0.0000000596046448
-0.8180239200592041  -0.8180238604545593  -0.0000000596046448
-0.7612190246582031  -0.7612190246582031  +0.0000000000000000
-0.6970912218093872  -0.6970911622047424  -0.0000000596046448
-0.6262562274932861  -0.6262561678886414  -0.0000000596046448
-0.5493968129158020  -0.5493967533111572  -0.0000000596046448
-0.4672510325908661  -0.4672510027885437  -0.0000000298023224
-0.3806107342243195  -0.3806107044219971  -0.0000000298023224
-0.2903077900409698  -0.2903077900409698  +0.0000000000000000
-0.1972118467092514  -0.1972118318080902  -0.0000000149011612
-0.1022194772958755  -0.1022194698452950  -0.0000000074505806
