c_math      hls_math    error
+0.0000000  +0.0000000  +0.0000000
+0.0960083  +0.0937500  +0.0022583
+0.1910928  +0.1875000  +0.0035928
+0.2843390  +0.2812500  +0.0030890
+0.3748495  +0.3593750  +0.0154745
+0.4617537  +0.4531250  +0.0086287
+0.5442155  +0.5312500  +0.0129655
+0.6214415  +0.6093750  +0.0120665
+0.6926887  +0.6875000  +0.0051887
+0.7572717  +0.7500000  +0.0072717
+0.8145691  +0.8125000  +0.0020691
+0.8640298  +0.8593750  +0.0046548
+0.9051778  +0.8906250  +0.0145528
+0.9376173  +0.9375000  +0.0001173
+0.9610361  +0.9531250  +0.0079111
+0.9752090  +0.9687500  +0.0064590
+0.9799997  +0.9687500  +0.0112497
+0.9753620  +0.9687500  +0.0066120
+0.9613405  +0.9531250  +0.0082155
+0.9380701  +0.9375000  +0.0005701
+0.9057748  +0.8906250  +0.0151498
+0.8647652  +0.8593750  +0.0053902
+0.8154359  +0.8125000  +0.0029359
+0.7582614  +0.7500000  +0.0082614
+0.6937919  +0.6875000  +0.0062919
+0.6226475  +0.6093750  +0.0132725
+0.5455128  +0.5312500  +0.0142628
+0.4631298  +0.4531250  +0.0100048
+0.3762911  +0.3750000  +0.0012911
+0.2858323  +0.2812500  +0.0045823
+0.1926234  +0.1875000  +0.0051234
+0.0975614  +0.0937500  +0.0038114
+0.0015608  +0.0000000  +0.0015608
-0.0944548  -0.1093750  +0.0149202
-0.1895618  -0.2031250  +0.0135632
-0.2828449  -0.2968750  +0.0140301
-0.3734069  -0.3750000  +0.0015931
-0.4603764  -0.4687500  +0.0083736
-0.5429168  -0.5468750  +0.0039582
-0.6202338  -0.6250000  +0.0047662
-0.6915837  -0.7031250  +0.0115413
-0.7562800  -0.7656250  +0.0093450
-0.8137003  -0.8281250  +0.0144247
-0.8632922  -0.8750000  +0.0117078
-0.9045785  -0.9062500  +0.0016715
-0.9371620  -0.9375000  +0.0003380
-0.9607293  -0.9687500  +0.0080207
-0.9750537  -0.9843750  +0.0093213
-0.9799972  -0.9843750  +0.0043778
-0.9755124  -0.9843750  +0.0088626
-0.9616424  -0.9687500  +0.0071076
-0.9385206  -0.9531250  +0.0146044
-0.9063695  -0.9218750  +0.0155055
-0.8654984  -0.8750000  +0.0095016
-0.8163006  -0.8281250  +0.0118244
-0.7592492  -0.7656250  +0.0063758
-0.6948933  -0.7031250  +0.0082317
-0.6238520  -0.6250000  +0.0011480
-0.5468087  -0.5468750  +0.0000663
-0.4645047  -0.4687500  +0.0042453
-0.3777318  -0.3906250  +0.0128932
-0.2873248  -0.2968750  +0.0095502
-0.1941535  -0.2031250  +0.0089715
-0.0991143  -0.1093750  +0.0102607
-0.0031216  -0.0156250  +0.0125034
+0.0929012  +0.0781250  +0.0147762
+0.1880302  +0.1875000  +0.0005302
+0.2813502  +0.2812500  +0.0001002
+0.3719634  +0.3593750  +0.0125884
+0.4589980  +0.4531250  +0.0058730
+0.5416167  +0.5312500  +0.0103667
+0.6190246  +0.6093750  +0.0096496
+0.6904770  +0.6875000  +0.0029770
+0.7552864  +0.7500000  +0.0052864
+0.8128295  +0.8125000  +0.0003295
+0.8625524  +0.8593750  +0.0031774
+0.9039769  +0.8906250  +0.0133519
+0.9367044  +0.9218750  +0.0148294
+0.9604201  +0.9531250  +0.0072951
+0.9748958  +0.9687500  +0.0061458
+0.9799922  +0.9687500  +0.0112422
+0.9756603  +0.9687500  +0.0069103
+0.9619418  +0.9531250  +0.0088168
+0.9389687  +0.9375000  +0.0014687
+0.9069619  +0.9062500  +0.0007119
+0.8662295  +0.8593750  +0.0068545
+0.8171632  +0.8125000  +0.0046632
+0.7602351  +0.7500000  +0.0102351
+0.6959930  +0.6875000  +0.0084930
+0.6250549  +0.6250000  +0.0000549
+0.5481033  +0.5468750  +0.0012283
+0.4658785  +0.4531250  +0.0127535
+0.3791715  +0.3750000  +0.0041715
+0.2888167  +0.2812500  +0.0075667
+0.1956832  +0.1875000  +0.0081832
+0.1006670  +0.0937500  +0.0069170
+0.0046824  +0.0000000  +0.0046824
-0.0913473  -0.0937500  +0.0024027
-0.1864982  -0.1875000  +0.0010018
-0.2798547  -0.2812500  +0.0013953
-0.3705189  -0.3750000  +0.0044811
-0.4576184  -0.4687500  +0.0111316
-0.5403152  -0.5468750  +0.0065598
-0.6178138  -0.6250000  +0.0071862
-0.6893685  -0.7031250  +0.0137565
-0.7542909  -0.7656250  +0.0113341
-0.8119565  -0.8125000  +0.0005435
-0.8618104  -0.8750000  +0.0131896
-0.9033730  -0.9062500  +0.0028770
-0.9362444  -0.9375000  +0.0012556
-0.9601085  -0.9687500  +0.0086415
-0.9747355  -0.9843750  +0.0096395
-0.9799848  -0.9843750  +0.0043902
-0.9758058  -0.9843750  +0.0085692
-0.9622389  -0.9687500  +0.0065111
-0.9394144  -0.9531250  +0.0137106
-0.9075520  -0.9218750  +0.0143230
-0.8669583  -0.8750000  +0.0080417
-0.8180237  -0.8281250  +0.0101013
-0.7612191  -0.7656250  +0.0044059
-0.6970910  -0.7031250  +0.0060340
-0.6262563  -0.6406250  +0.0143687
-0.5493965  -0.5625000  +0.0131035
-0.4672510  -0.4687500  +0.0014990
-0.3806103  -0.3906250  +0.0100147
-0.2903078  -0.2968750  +0.0065672
-0.1972123  -0.2031250  +0.0059127
-0.1022194  -0.1093750  +0.0071556
